# Weeks,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
6,0,2492,0.97,126,0,26,152
7,0,2533,0.99,128,0,18,146
8,0,2492,1,138,0,25,163
9,0,2524,1,121,0,19,140
10,0,2458,0.98,123,0,29,152
11,0,2506,0.99,145,0,22,167
12,0,2550,1.03,140,0,39,179
13,0,2517,1.01,155,0,25,186
14,44,2507,1.03,191,18,21,238
15,117,2571,1.01,195,52,0,269
16,177,2627,1.08,253,82,0,355
17,270,2652,1.12,278,135,0,417
18,285,2830,1.23,245,120,0,415
19,322,2732,1.17,236,127,0,433
20,289,2615,1.13,193,98,0,387
21,257,2677,1.2,228,116,0,370
22,267,2658,1.19,198,110,0,356
23,180,2516,1.13,168,69,0,279
24,186,2586,1.14,194,80,0,300
25,130,2416,1.08,151,55,0,227
26,108,2396,1.07,119,37,0,190
27,104,2415,1.07,126,39,0,192
28,103,2509,1.12,124,40,0,188
29,127,2510,1.1,161,57,0,232
30,122,2529,1.15,165,55,0,233
31,181,2499,1.14,182,75,0,288
32,182,2613,1.18,180,81,0,281
33,160,2573,1.16,198,74,0,284
34,185,2574,1.16,162,80,0,267
35,177,2578,1.17,185,78,0,285
36,181,2629,1.17,177,77,0,282
37,164,2409,1.07,157,76,0,245
38,152,2537,1.1,170,69,0,254
39,126,2452,1.06,138,54,0,210
40,140,2604,1.17,155,56,0,239
41,134,2573,1.13,167,65,0,236
42,160,2610,1.14,158,73,0,245
43,193,2575,1.12,178,83,0,288
44,222,2534,1.11,183,91,0,314
45,237,2423,1.02,187,98,0,326
46,219,2174,0.9,177,110,0,287
47,139,1480,0.61,118,69,0,188
48,97,927,0.39,67,39,0,125
49,14,173,0.07,17,0,0,25
