Week #,"Region 1(CT, ME, MA, NH, RI, VT)","Region 2(NJ, NY, PR)","Region 3(DE, DC, MD, PA, VA, WV)","Region 4(AL, FL, GA, KY, MS, NC, SC, TN)","Region 5(IL, IN, MI, MN, OH, WI)","Region 6(AR, LA, NM, OK, TX)","Region 7(IA, KS, MO, NE)","Region 8(CO, MT, ND, SD, UT, WY)","Region 9(AZ, CA, GU, HI, NV)","Region 10(AK, ID, OR, WA)"
10,142,193,30,69,35,11,43,28,155,272
11,303,816,253,450,522,331,72,356,390,145
12,963,1449,412,1059,1746,886,149,518,484,360
13,1722,2250,844,1963,3822,983,334,947,1054,570
14,13091,69427,11911,12773,12404,10083,1890,2839,7372,1947
15,15402,65365,12693,11304,10876,8571,1767,2528,7355,1726
16,15155,48460,13336,11289,9486,8074,3123,2527,7564,1637
17,15388,40699,14735,12056,15019,9555,6882,3844,7761,1653
18,14193,31924,16064,12485,19658,10206,5549,3508,9478,1650
19,12406,22872,15000,11943,19005,10569,4874,4297,9975,1532
20,10759,19742,15306,13740,17805,10601,4017,4030,10762,1396
21,9284,17192,14748,16632,19177,12360,3969,4351,12275,1452
22,6233,11392,11389,17730,15095,13207,3150,3709,16210,1443
23,5357,8308,10074,23643,12535,18080,2605,3811,21131,1813
24,4057,6454,9785,32239,11671,31081,2739,3809,27211,2170
25,2635,5767,8612,58194,11597,54124,3368,4754,42893,2463
26,2231,5447,10669,84752,14348,80406,4648,5729,61071,3054
27,2177,5176,11375,87101,16154,74553,5917,5747,63708,3380
28,2170,6293,13239,105462,21265,75421,7457,7803,64661,3988
29,2043,6698,12940,95373,24107,60449,7223,7689,58111,3932
30,1733,5971,12496,82722,23860,46516,7191,7207,43700,4101
31,1820,5252,11652,63524,23706,35763,5885,7037,34168,3662
32,1893,5027,10727,54014,24292,28860,5980,6310,27025,3194
33,1944,4446,10472,41663,23770,24152,7289,5590,23663,2741
34,2433,4453,10120,35438,23220,20378,7727,5986,20368,2424
35,2219,4660,10527,30409,23489,18482,7626,6981,18583,2205
36,2500,5346,11601,26853,22941,18360,7977,7345,15878,2026
37,2376,5341,10738,22976,22570,14861,7628,7985,12629,1739
38,2719,5634,10270,23226,30398,17351,9230,11389,13826,2176
39,3055,7000,10305,21988,35052,16338,9709,13548,13973,2568
40,3798,8471,11265,22688,34360,16767,8540,13692,13728,3121
41,4653,9389,13205,26046,41782,21661,10302,16508,14968,4157
42,5527,10491,13618,28565,51978,25477,10816,19259,15838,4227
43,7945,13814,17240,32786,59296,26023,12008,23087,18793,4127
44,9889,15022,20267,35951,87381,29194,17850,27470,21804,4951
45,15178,21924,27193,41505,127847,41197,29892,36453,30460,7517
46,21669,31299,41063,49340,145176,50301,33879,37234,40075,9681
47,20694,27521,40214,47331,113248,45195,25885,25776,43833,9874
