Week,INF_A_19,INF_B_19,ALL_INF_POS_19,ALL_INF_NEG_19,INF_A_20,INF_B_20,ALL_INF_POS_20,ALL_INF_NEG_20
1,6887,181,7068,40210,7053,11151,18204,51213
2,6837,254,7091,37747,7567,9316,16883,48365
3,8624,228,8852,36444,9439,9528,18967,46281
4,10483,288,10771,36881,11363,10165,21528,47975
5,13216,342,13558,39146,14603,11057,25660,52677
6,16277,475,16752,42040,15461,9951,25412,52102
7,16383,579,16962,40913,15614,8214,23828,50457
8,16740,572,17312,41377,14661,6497,21158,48398
9,16660,518,17178,40904,13488,4965,18453,47937
10,16379,560,16939,41051,12789,3868,16657,51632
11,16292,698,16990,40822,10337,2975,13312,64698
12,12496,758,13254,39246,4628,1475,6103,69846
13,9277,789,10066,35698,874,336,1210,45690
14,6129,774,6903,32384,238,134,372,31938
15,4087,714,4801,28950,106,50,156,20437
16,2382,605,2987,26442,77,37,114,15213
17,1337,528,1865,24025,46,12,58,13582
18,863,396,1259,19889,43,11,54,10956
19,557,347,904,17621,41,17,58,9492
20,461,326,787,16990,38,13,51,8475
21,376,291,667,15513,9,8,17,8059
22,294,285,579,14333,10,4,14,6569
23,227,259,486,12616,9,14,23,6517
24,214,161,375,11442,10,12,22,6043
25,182,112,294,10549,12,8,20,5625
26,164,115,279,9234,12,7,19,5856
27,202,103,305,8907,9,5,14,6364
28,155,93,248,9226,7,6,13,6490
29,176,91,267,8395,11,12,23,6316
30,154,99,253,7992,7,4,11,6201
31,150,98,248,7965,3,5,8,6225
32,119,104,223,8151,7,4,11,6401
33,135,132,267,8380,4,5,9,6154
34,152,150,302,8942,6,8,14,6335
35,194,255,449,10421,7,13,20,8637
36,215,261,476,11792,8,6,14,8547
37,247,228,475,13479,8,6,14,6589
38,257,304,561,15276,15,18,33,7506
39,249,378,627,17515,14,10,24,9790
40,239,188,427,20411,20,19,39,18390
41,265,260,525,22688,30,28,58,20863
42,314,280,594,23793,23,18,41,18282
43,380,475,855,25268,17,11,28,17267
44,417,720,1137,25877,,,,
45,815,1393,2208,28981,,,,
46,888,2018,2906,30741,,,,
47,1412,3187,4599,34706,,,,
48,1623,3444,5067,32690,,,,
49,2108,4327,6435,38753,,,,
50,2897,6230,9127,39288,,,,
51,4716,9981,14697,43797,,,,
52,7305,12962,20267,47971,,,,
